T,M,J, ,T,M,J,Was,Location,Stadt,Land,Url
0,0,2019,-,0,0,2019,Tufinnovate, , , ,https://www.tufin.com
0,0,2019,-,30,7,2013,IPv6 Hackers Meeting, ,Berlin,Deutschland,http://www.ipv6hackers.org/meetings/berlin-2013
0,0,2019,-,6,9,2013,Open Hardware Summit,MIT, ,USA,http://www.oshwa.org
0,0,2019,-,20,9,2013,Monitorama, ,Berlin,Deutschland,http://monitorama.eu/
0,0,2019,-,23,2,2013,Camp +, , , ,https://camp.hsbp.org
0,0,2019,-,1,1,2014,HITBSECCONF, ,Amsterdam,Niederlande,http://conference.hitb.org/
16,3,2019,-,17,3,2019,Chemnitzer Linuxtage, ,Chemnitz,Deutschland,http://chemnitzer.linux-tage.de/
13,3,2019,-,16,3,2019,FOSSGIS, ,Dresden,Deutschland,https://www.fossgis.de/konferenz/2019/
0,0,2019,-,30,3,2014,Barcamp Heilbronn,Hochschule,Heilbronn,Deutschland,https://connect-it.hn/barcamp-heilbronn/
0,0,2019,-,5,4,2014,MET im Kino,MET im Kino, , ,http://metimkino.de
0,0,2019,-,5,4,2014,Pillow Fight Day, , , ,http://www.pillowfightday.com/
0,0,2019,-,6,4,2014,Linux Open Admin Days,Don Bosco Wilrijk,Antwerpen,Belgien,http://loadays.org/
19,4,2019,-,22,4,2019,Easterhegg,TU Wien,Wien,Österreich,http://www.easterhegg.eu
29,4,2014,-,29,4,2014,Security B-Sides, ,London,UK,http://www.securitybsides.org.uk/
0,0,2019,-,8,5,2014,re:publica, ,Berlin,Deutschland,http://re-publica.de
0,0,2019,-,10,5,2014,PM Camp, ,Stuttgart,Deutschland,http://stuttgart.pm-camp.org/
5,7,2019,-,7,7,2019,Ruhrpott Rodeo, , ,Deutschland,http://www.ruhrpott-rodeo.de/
0,0,2019,-,31,5,2014,Strombike,Stromberg,Bönnigheim,Deutschland,http://www.strombike.de/
0,0,2019,-,3,6,2014,Area 41, , ,Schweiz,http://area41.io/
0,0,2019,-,5,6,2014,AStA Sommerfestivali,Uni,Paderborn,Deutschland,http://www.das-sommerfestival.de/
0,0,2019,-,9,6,2014,Sputnik Spring Break, ,Bitterfeld,Deutschland,http://www.sputnik.de/springbreak
14,6,2014,-,15,6,2014,Backbone 409, ,Barcelona,Spanien,http://backbone409.calafou.org/
16,6,2014,-,17,6,2014,DFN-Forum Kommunikationstechnologien, ,Fulda,Deutschland,http://dfn2014.hs-fulda.de/
0,0,2019,-,22,6,2014,GPN, ,Karlsruhe,Deutschland,https://entropia.de/GPN
26,6,2019,-,30,6,2019,Fusion Festival, , ,Deutschland,http://www.fusion-festival.de/
0,0,2019,-,29,6,2014,RockAField, ,Luxemburg,Luxemburg,http://www.rockafield.lu/
29,6,2019,-,6,7,2019,Roskilde, , ,Dänemark,http://roskilde-festival.dk/
4,7,2014,-,6,7,2014,Barcamp Bodensee, , ,Deutschland,http://barcampbodensee.mixxt.eu/
9,7,2014,-,13,7,2014,Toorcamp,Hobuck Beach Resort,Neah Bay,USA,http://toorcamp.org/
10,7,2014,-,13,7,2014,Stadtflucht, , ,Österreich,https://metalab.at/wiki/Stadtflucht
11,7,2014,-,12,7,2014,Unkonferenz für Computerlinguistik, ,Stuttgart,Deutschland,http://www.clunc.de/
15,7,2014,-,20,7,2014,Sommerfestival der Kulturen, ,Stuttgart,Deutschland,http://www.forum-der-kulturen.de/
16,7,2014,-,19,7,2014,Gaffenbergfestival, ,Heilbronn,Deutschland,http://www.gaffenbergfestival.de/
18,7,2014,-,18,7,2014,Hope Konferenz, , , ,http://x.hope.net/
19,7,2014,-,20,7,2014,Nation of Gondwana, , , ,http://pyonen.de/
20,7,2014,-,20,7,2014,Aspen-Mountainbike-Marathon, , ,Deutschland,http://www.hardtwaldracers.de
31,7,2014,-,3,8,2014,Haxogreen,Belvedère,Dudelange,Luxemburg,http://www.haxogreen.lu/
1,8,2014,-,25,8,2014,Fringe Festival Edinburgh, , , ,http://www.edfringe.com/
5,8,2014,-,6,8,2014,Passwords,Tuscany Suites & Casino,Las Vegas,USA,http://passwordscon.org/
6,8,2014,-,10,8,2014,eth0,Beusink Recreatie,Lievelde,Niederlande,http://wiki.eth0.nl/index.php/Main_Page
9,8,2014,-,9,8,2014,Seenachtfest, ,Konstanz,Deutschland,http://www.seenachtfest.de/
15,8,2014,-,17,8,2014,Rock n Heim,Hockenheimring,Hockenheim,Deutschland,http://www.rock-n-heim.com/
16,8,2014,-,16,8,2014,OSHUG Camp, ,London,UK,http://oshug.org/event/oshcamp2014
16,8,2014,-,18,8,2014,Parkfest, ,Nordheim,Deutschland,http://www.nordheim.de/website/de/gemeinde/tourismus/nordheimer_parkfest
21,8,2014,-,24,8,2014,Camp ++,Fort Monostor,Komarom,Ungarn,http://camp.hsbp.org/2014/pp/
22,8,2014,-,25,8,2014,Schäferlauf Markgröningen, ,Markgröningen,Deutschland,http://www.markgroeningen.de
23,8,2014,-,23,8,2014,Echelon, , ,Deutschland,http://www.echelon-openair.de
23,8,2014,-,24,8,2014,Froscon,Hochschule Bonn-Rhein-Sieg,Sankt Augustin,Deutschland,http://www.froscon.de
23,8,2014,-,31,8,2014,DebConf14, ,Portland,USA,http://wiki.debconf.org/wiki/DebConf14
25,8,2014,-,1,9,2014,Burning Man, , ,USA,http://www.burningman.com/
29,8,2014,-,31,8,2014,Electromagnetic Field, , ,UK,https://www.emfcamp.org/
5,9,2014,-,7,9,2014,MRMCD,Hochschule,Darmstadt,Deutschland,https://mrmcd.net/
6,9,2014,-,6,9,2014,Rock am See, , ,Deutschland,http://www.rock-am-see.de/
10,9,2014,-,12,9,2014,Networking Field Day, ,Las Vegas,USA,http://techfieldday.com/nfd/
13,9,2014,-,13,9,2014,Bodensee Radmarathon, , , ,http://www.bodensee-radmarathon.ch/
13,9,2014,-,14,9,2014,Datenspuren,Scheune,Dresden,Deutschland,http://www.datenspuren.de/2014/
20,9,2014,-,21,9,2014,Barcamp Stuttgart, ,Stuttgart,Deutschland,http://www.barcamp-stuttgart.de/
21,9,2014,-,21,9,2014,Badenmarathon, ,Karlsruhe,Deutschland,http://www.badenmarathon.de
22,9,2014,-,23,9,2014,Open Source Backup Conference 2014,NH Hotel Cologne Mediapark,Köln,Deutschland,http://osbconf.org/
23,9,2014,-,24,9,2014,Puppetconf, , , ,http://puppetconf.com/
25,9,2014,-,26,9,2014,Kommunikations Kongress, , , ,http://www.kommunikationskongress.de/
26,9,2014,-,28,9,2014,openmind #14, , ,Deutschland,http://14.openmind-konferenz.de/
4,10,2014,-,4,10,2014,Trollcon,Raumzeitlabor,Mannheim,Deutschland,https://raumzeitlabor.de/wiki/Trollcon/2014
9,10,2014,-,11,10,2014,push.conference, ,München, ,http://push-conference.com/
13,10,2014,-,15,10,2014,LinuxCon Edinburgh, ,Edinburgh,UK,http://events.linuxfoundation.org/events/linuxcon-europe/
17,10,2014,-,19,10,2014,Ubucon 2014, ,Katlenburg, ,http://ubucon.de/2013/
24,10,2014,-,26,10,2014,hackover, , ,Deutschland,http://hackover.de/
30,10,2014,-,2,1,2014,RGB2R,Bürgerhaus Schlierbach,Heidelberg,Deutschland,http://rgb2r.noname-ev.de/
9,11,2014,-,14,11,2014,LISA 14, ,Seattle,USA,https://www.usenix.org/conference/lisa14
11,11,2014,-,11,11,2014,South Tyrol Free Software Conference,https://www.sfscon.it/de/, , ,
15,11,2014,-,16,11,2014,Kulinart,Phoenixhalle,Stuttgart,Deutschland,http://www.kulinart-messe.de/
18,11,2014,-,20,11,2014,OSMC Nürnberg, ,Nürnberg,Deutschland,http://www.netways.de/osmc/
18,11,2014,-,21,11,2014,DeepSec, ,Wien,Österreich,https://deepsec.net
20,11,2014,-,20,11,2014,IRISSCERT Cyber Crime Conference, ,Dublin, ,https://www.iriss.ie/iriss/irisscon.htm
20,11,2014,-,23,11,2014,Hobby Elektronik,Messe,Stuttgart,Deutschland,http://www.messe-stuttgart.de/hobby/
25,11,2014,-,22,12,2014,Weihnachtsmarkt LB,Ludwigsburg,Deutschland,http://www.ludwigsburg.de/,Lde/start/tourismus/weihnachtsmarkt.html
4,2,2015,-,7,2,2015,Nullcon, ,Goa,Indien,http://nullcon.net/website/
16,3,2015,-,20,3,2015,Troopers, ,Heidelberg,Deutschland,https://www.troopers.de/
18,4,2015,-,10,5,2015,Stuttgarter Frühlingsfest,Wasen,Stuttgart,Deutschland,http://www.stuttgarter-fruehlingsfest.de/
21,4,2015,-,23,4,2015,Open Source Data Center Conference,Hotel MOA,Berlin,Deutschland,http://www.netways.de/osdc/overview/overview/
1,5,2015,-,3,5,2015,Vintage Computer Festival, , , ,http://www.vcfe.org/D/
16,5,2015,-,16,5,2015,Open Source System Management Conference, ,Bozen,Italien,http://www.wuerth-phoenix.com/
19,6,2015,-,21,6,2015,Southside,Take-Off Park,Tuttlingen,Deutschland,http://www.southside.de/
24,6,2015,-,28,6,2014,Glastonbury, , , ,http://www.glastonburyfestivals.co.uk/
26,6,2015,-,28,6,2015,HAM RADIO,Messe,Friedrichshafen,Deutschland,http://www.hamradio-friedrichshafen.de/
11,7,2015,-,11,7,2015,Lichterfest Stuttgart, ,Stuttgart,Deutschland,http://www.lichterfest-stuttgart.de/
30,7,2015,-,1,8,2015,Wacken, , ,Deutschland,http://www.wacken.com/
13,11,2015,-,15,11,2015,No-Spy Konferenz,Literaturhaus Stuttgart,Stuttgart,Deutschland,https://no-spy.org/
9,3,2016,-,11,3,2016,Deutscher Perl-Workshop 2016, ,Nürnberg,Deutschland,http://act.yapc.eu/gpw2016/
0,0,2017,-,0,0,2017,dOCUMENTA, ,Kassel,Deutschland,http://www.documenta.de/
6,9,2018,-,16,9,2018,Heilbronner Weindorf, ,Heilbronn,Deutschland,http://www.weindorf.biz/
25,9,2018,-,30,9,2018,Fantasy Filmfest Stuttgart, ,Stuttgart,Deutschland,http://www.fantasyfilmfest.com/
28,9,2018,-,14,10,2018,Cannstatter Wasen, ,Stuttgart,Deutschland,http://www.cannstatter-volksfest.de/
28,9,2018,-,29,9,2018,Riga Conference, ,Riga,Latvia,http://www.rigaconference.lv/
6,10,2018,-,6,10,2018,Terraristikmesse Karlsruhe, ,Karlsruhe,Deutschland,http://www.terrarienboerse-ka.de/index.html
12,10,2018,-,13,10,2018,devops-camp, ,Nürnberg,Deutschland,http://www.devops-camp.de/
21,11,2018,-,22,11,2018,Denog 10,darmstadtium,Darmstadt,Deutschland,https://www.denog.de/de/meetings/denog10/denog10.html
27,11,2018,-,21,12,2018,Esslingen Weihnachtsmarkt, ,Esslingen,Deutschland,http://tourist.esslingen.de/
3,12,2018,-,6,12,2018,Blackhat Europe, ,Amsterdam, ,http://www.blackhat.com/
4,12,2018,-,9,12,2018,chocolART Schokoladenfestival, ,Tübingen,Deutschland,http://www.chocolart.de/
0,0,2019,-,15,5,2019,CPUG Conference, , , ,http://www.cpugcon.com/
0,0,2019,-,2,2,2013,Air Style, , , ,http://www.air-style.com
0,0,2019,-,20,2,2012,Fasching Ballei,Ballei,Neckarsulm,Deutschland,http://www.neckarsulm.de
0,0,2019,-,20,8,2012,Erlenbacher Weinfest, ,Erlenbach,Deutschland,http://www.erlenbach-hn.de
0,0,2019,-,26,2,2013,Frühjahrsfachgespräch, , ,Deutschland,http://www.guug.de/veranstaltungen/
0,0,2019,-,3,9,2012,Ganzhornfest Neckarsulm, ,Neckarsulm,Deutschland,http://www.neckarsulm.de
2,2,2019,-,3,2,2019,Fosdem, ,Brüssel,Belgien,https://fosdem.org
25,4,2019,-,28,4,2019,Markt des guten Geschmacks,Deutschland,Stuttgart, ,http://www.messe-stuttgart.de/marktdesgutengeschmacks/
14,5,2019,-,15,5,2019,DevOpsDays, ,Zürich,Schweiz,http://devopsdays.org/
7,6,2019,-,9,6,2019,Rock am Ring, , ,Deutschland,http://www.rock-am-ring.com/
19,6,2019,-,22,6,2019,Laube Seefest,Laube,Heilbronn,Deutschland,http://www.seefest-heilbronn.de/
11,7,2019,-,13,7,2019,Happiness Festival, ,Straubenhardt,Deutschland,http://happiness-festival.de/
19,7,2019,-,21,7,2019,Das Fest, ,Karlsruhe,Deutschland,http://www.dasfest.net/
