# T,# M,# J, ,# T,# M,# J,# Was,# Location,# Stadt,# Land
18,6,2011,-,18,6,2011,[Ninjacon](http://ninjacon.net/),The Hub,Wien,Österreich
1,1,2012,-,1,1,2012,[SoOnCamp](http://www.sooncamp.ca/), , ,Canada,
21,1,2012,-,21,1,2012,[Barcamp München](http://barcampmunich.mixxt.de/), ,München,Deutschland,
20,2,2012,-,20,2,2012,[Fasching Ballei](http://www.neckarsulm.de/main/freizeit-tourismus/veranstaltungen.html),Ballei,Neckarsulm,Deutschland,
22,6,2012,-,29,6,2012,[Open Community Camp](http://opencommunitycamp.org/site/), ,Oegstgeest,Niederlande,
3,8,2012,-,3,8,2012,[ICMP](https://erlangen.ccc.de/index.php/Hauptseite), ,Münchsteinach,Deutschland,
2,9,2012,-,3,9,2012,[Ganzhornfest Neckarsulm](http://www.neckarsulm.de/main/freizeit-tourismus/veranstaltungen.html), ,Neckarsulm,Deutschland,
8,9,2012,-,9,9,2012,[Floss](http://www.flossk.org/en/blog/software-freedom-kosova-2012), , ,Kosovo,
17,9,2012,-,19,9,2012,[CPUG Conference](http://www.cpugcon.com/), , , ,
5,10,2012,-,5,10,2012,[DevOpsDays](http://devopsdays.org/), , , ,
24,11,2012,-,25,11,2012,[Barcamp Braunschweig](http://www.barcamp-braunschweig.de/), ,Braunschweig,Deutschland,
1,1,2013,-,1,1,2013,[Hamburger Maker-Treffen](http://www.hamburger-makertreffen.de/), ,Hamburg,Deutschland,
31,1,2013,-,1,2,2013,[New Babylon](http://www.after-crisis.com/), , , ,
1,2,2013,-,2,2,2013,[Air Style](http://www.air-style.com/), , , ,
14,3,2013,-,15,3,2013,[env hack](http://envhack.com/), ,Bristol, ,
21,3,2013,-,23,3,2013,[Unlike Us #3](http://networkcultures.org/wpmu/unlikeus/), ,Amsterdam,Niederlande,
23,3,2013,-,23,3,2013,[Linuxinfotage Augsburg](http://www.luga.de/), ,Augsburg,Deutschland,
9,5,2013,-,12,5,2013,[LUG Camp](http://www.lugcamp.org/), , , ,
24,5,2013,-,25,5,2013,[Barcamp Rootcamp](http://rootcamp.mixxt.de/), , ,Deutschland,
5,7,2013,-,23,2,2013,[Sigint](http://sigint.ccc.de/), ,Köln,Deutschland,
8,7,2013,-,8,7,2013,[Noiseless Vault](https://noiselessvault.org/), , , ,
12,7,2013,-,12,7,2013,[DIMVA](http://dimva.sec.t-labs.tu-berlin.de/index.html), , ,Deutschland,
30,7,2013,-,30,7,2013,[IPv6 Hackers Meeting](http://www.ipv6hackers.org/meetings/berlin-2013), ,Berlin,Deutschland,
31,7,2013,-,4,8,2013,[Camp OHM2013](https://ohm2013.org), , ,Niederlande,
6,9,2013,-,6,9,2013,[Open Hardware Summit](http://summit.oshwa.org),MIT, ,USA,
