# T,# M,# J, ,# T,# M,# J,# Was,# Location,# Stadt,# Land,
0,0,2012,-,0,0,2012,SoOnCamp, , ,Canada,http://www.sooncamp.ca/
0,0,2013,-,0,0,2013,HITBSECCONF2013, , , ,http://conference.hitb.org/hitbsecconf2013ams/
0,0,2017,-,0,0,2017,dOCUMENTA, ,Kassel,Deutschland,http://www.documenta.de/
0,8,2015,-,31,8,2015,CCC Camp, , ,Deutschland,http://events.ccc.de 
1,1,2012,-,1,1,2012,SoOnCamphttp://www.sooncamp.ca/, , ,Canada,
1,1,2013,-,1,1,2013,Hamburger Maker-Treffenhttp://www.hamburger-makertreffen.de/, ,Hamburg,Deutschland,
1,1,2014,-,1,1,2014,HITBSECCONF2014http://conference.hitb.org/, ,Amsterdam,Niederlande,
1,1,2014,-,1,1,2014,HITBSECCONF2014,http://conference.hitb.org/, ,Amsterdam,Niederlande,
1,12,2015,-,6,12,2015,chocolART Schokoladenfestivalhttp://www.chocolart.de/, ,Tübingen,Deutschland,
1,2,2013,-,2,2,2013,Air Style, , , ,http://www.air-style.com/start.html
1,2,2014,-,2,2,2014,Fosdem, ,Brüssel,Belgien,https://fosdem.org
1,5,2015,-,3,5,2015,Vintage Computer Festivalhttp://www.vcfe.org/D/, , , ,
1,8,2014,-,25,8,2014,Fringe Festival Edinburgh, , , ,http://www.edfringe.com/
1,8,2017,31,8,2017,CCC Camp, , ,Niederlande,http://events.ccc.de
1,8,2019,-,31,8,2019,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2021,-,31,8,2019,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2023,-,31,8,2023,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2025,-,31,8,2025,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2027,-,31,8,2027,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2029,-,31,8,2029,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2031,-,31,8,2031,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2033,-,31,8,2033,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2035,-,31,8,2035,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2037,-,31,8,2037,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2039,-,31,8,2039,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2041,-,31,8,2041,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2043,-,31,8,2043,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2045,-,31,8,2045,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2047,-,31,8,2047,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2049,-,31,8,2049,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2051,-,31,8,2051,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2053,-,31,8,2053,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2055,-,31,8,2055,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2057,-,31,8,2057,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2059,-,31,8,2059,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2061,-,31,8,2061,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2063,-,31,8,2063,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2065,-,31,8,2065,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2067,-,31,8,2067,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2069,-,31,8,2069,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2071,-,31,8,2071,CCC Camphttp://events.ccc.de, , ,Deutschland,
1,8,2073,-,31,8,2073,CCC Camphttp://events.ccc.de, , ,Niederlande,
1,8,2075,-,31,8,2075,CCC Camphttp://events.ccc.de, , ,Deutschland,
10,4,2014,-,13,4,2014,Markt des guten Geschmacks,Deutschland,Stuttgart, ,http://www.messe-stuttgart.de/marktdesgutengeschmacks/
10,5,2014,-,10,5,2014,LA CENERENTOLA,MET im Kino, , ,http://metimkino.de
10,6,2017,-,17,9,2017,dOCUMENTAhttp://www.documenta.de/,various,Kassel,Germany,
10,7,2012,-,10,7,2012,Sommerfestival der Kulturen, ,Stuttgart,Deutschland,http://www.forum-der-kulturen.de/
10,7,2014,-,13,7,2014,Stadtfluchthttps://metalab.at/wiki/Stadtflucht, , ,Österreich,
10,9,2014,-,12,9,2014,Networking Field Dayhttp://techfieldday.com/nfd/, ,Las Vegas,USA,
11,11,2014,-,11,11,2014,South Tyrol Free Software Conferencehttps://www.sfscon.it/de/, , ,,
11,4,2014,-,13,4,2014,UnFUCK, ,Furtwangen,Deutschland,http://unfuck.eu/2012
11,7,2014,-,12,7,2014,Happiness Festival, ,Straubenhardt,Deutschland,http://happiness-festival.de/
11,7,2014,-,12,7,2014,Unkonferenz für Computerlinguistikhttp://www.clunc.de/, ,Stuttgart,Deutschland,
11,7,2015,-,11,7,2015,Lichterfest Stuttgarthttp://www.lichterfest-stuttgart.de/, ,Stuttgart,Deutschland,
11,8,2013,-,18,8,2013,DebConf13, , ,Schweiz,http://wiki.debconf.org/wiki/DebConf13
11,9,2013,-,11,9,2013,Networking Field Day, , , ,http://techfieldday.com/nfd/
11,9,2015,-,20,9,2015,Heilbronner Weindorf, ,Heilbronn,Deutschland,http://www.weindorf.biz/
12,10,2013,-,12,10,2013,Groningen Mini Maker Fair, ,Groningen, ,http://mf050.nl/
12,5,2014,-,13,5,2014,Mailserver Konferenz, ,Berlin,Deutschland,https://www.heinlein-support.de/mailserver-konferenz
12,7,2013,-,12,7,2013,DIMVA, , ,Deutschland,http://dimva.sec.t-labs.tu-berlin.de/index.html
12,7,2014,-,12,7,2014,Lichterfest Stuttgart, ,Stuttgart,Deutschland,http://www.lichterfest-stuttgart.de/
12,9,2014,-,13,9,2014,Riga Conferencehttp://www.rigaconference.lv/12, ,Riga,Latvia,
12,9,2014,-,21,9,2014,Heilbronner Weindorf, ,Heilbronn,Deutschland,http://www.weindorf.biz/
12,9,2014,13,9,2014,Riga Conference, ,Riga,Latvia,http://www.rigaconference.lv/
12,9,2014,14,9,2014,devops-camp,Coworking Nürnberg,Nürnberg,Deutschland,http://www.devops-camp.de/
13,10,2014,-,15,10,2014,LinuxCon Edinburgh, ,Edinburgh,UK,http://events.linuxfoundation.org/events/linuxcon-europe/
13,11,2015,-,15,11,2015,No-Spy Konferenzhttps://no-spy.org/,Literaturhaus Stuttgart,Stuttgart,Deutschland,
13,8,2015,-,17,8,2015,CCC Camphttp://events.ccc.de , , ,Deutschland,
13,9,2014,-,13,9,2014,Bodensee Radmarathon, , , ,http://www.bodensee-radmarathon.ch/
13,9,2014,-,14,9,2014,Datenspurenhttp://www.datenspuren.de/2014/,Scheune,Dresden,Deutschland,
14,10,2014,-,17,10,2014,Blackhat Europe, ,Amsterdam, ,http://www.blackhat4com/eu-13/
14,11,2013,-,14,11,2013,Denog 5, ,Darmstadt,Deutschland,http://www.denog.de/meetings/denog5/?lang=de
14,2,2014,-,14,2,2014,Nullcon, , , ,http://nullcon.net/website/
14,2,2019,-,14,2,2019,Valentinstag , , , ,
14,2,2019,-,14,2,2019,Valentinstag, , , , 
14,2,2020,-,14,2,2020,Valentinstag , , , ,
14,2,2020,-,14,2,2020,Valentinstag, , , , 
14,3,2013,-,15,3,2013,env hack, ,Bristol, ,http://envhack.com/en/posts/
14,6,2014,-,15,6,2014,Backbone 409http://backbone409.calafou.org/, ,Barcelona,Spanien,
14,7,2012,-,14,7,2012,Barcamp Karlsruhe, ,Karlsruhe,Deutschland,http://www.barcamp-karlsruhe.de/
15,11,2013,-,15,11,2013,South Tyrol Free Software Conference, , , ,https://2012.sfscon.it/de/home
15,11,2014,-,16,11,2014,Barcamp Karlsruhehttp://www.barcamp-karlsruhe.de/, ,Karlsruhe,Deutschland,
15,11,2014,-,16,11,2014,Kulinarthttp://www.kulinart-messe.de/,Phoenixhalle,Stuttgart,Deutschland,
15,3,2014,-,16,3,2014,Chemnitzer Linuxtage,Deutschland,Chemnitz, ,http://chemnitzer.linux-tage.de/
15,7,2014,-,20,7,2014,Sommerfestival der Kulturenhttp://www.forum-der-kulturen.de/, ,Stuttgart,Deutschland,
15,8,2014,-,17,8,2014,Interferencehttps://interference.io/, ,Amsterdam,Niederlande,
15,8,2014,-,17,8,2014,Rock n Heim,Hockenheimring,Hockenheim,Deutschland,http://www.rock-n-heim.com/
15,9,2012,-,16,9,2012,OSHUG Camp, ,London,UK,http://oshug.org/event/oshcamp2012.html
16,3,2015,-,20,3,2015,Troopershttps://www.troopers.de/, ,Heidelberg,Deutschland,
